mo_id,region,district,year,month,month_idx,population,elderly_share,admitted,discharged,transferred,deaths,letality_pct_fact,letality_pct_plan,vacancy_reanim_pct,vacancy_cardio_pct,vacancy_surgeon_pct,ivl_units,ct_units,angiograph_units,ivl_avg_age_years,time_to_ivl_min,federal_project
МО-А01,Регион А,Район-А01,2023,октябрь,10,91803,0.225,40,38,1,1,2.5,4.09,9.6,9.0,7.8,7,1,1,4.1,50.3,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,ноябрь,11,91803,0.225,687,640,22,25,3.64,4.25,8.4,5.2,7.6,2,1,0,4.4,46.0,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,декабрь,12,91803,0.225,40,38,1,1,2.5,4.05,9.3,8.2,6.6,4,1,1,4.1,48.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,январь,1,91803,0.225,201,182,9,10,4.98,4.1,8.6,7.5,7.7,9,0,0,6.0,38.8,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,февраль,2,91803,0.225,54,51,1,2,3.7,4.07,10.6,8.5,4.5,7,2,0,5.6,56.5,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,март,3,91803,0.225,40,39,0,1,2.5,4.2,10.1,6.0,7.7,6,1,0,4.4,51.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,апрель,4,91803,0.225,40,39,0,1,2.5,4.16,8.3,6.3,7.5,9,0,1,5.5,24.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,май,5,91803,0.225,40,38,1,1,2.5,4.14,9.1,6.2,7.7,5,1,0,3.6,39.2,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,июнь,6,91803,0.225,312,283,16,13,4.17,4.07,8.2,8.3,7.9,8,2,1,5.3,41.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,июль,7,91803,0.225,40,38,1,1,2.5,4.12,9.3,6.1,6.3,7,0,1,5.6,45.1,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,август,8,91803,0.225,1149,1079,28,42,3.66,4.18,8.3,8.3,8.1,6,2,1,1.5,49.7,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,сентябрь,9,91803,0.225,719,654,31,34,4.73,4.09,8.2,7.6,4.1,6,2,1,5.3,46.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,октябрь,10,91803,0.225,40,38,1,1,2.5,3.98,11.3,9.2,4.9,7,2,0,5.0,57.1,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,ноябрь,11,91803,0.225,633,580,26,27,4.27,4.23,10.8,7.2,7.4,5,0,0,2.3,50.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2024,декабрь,12,91803,0.225,40,37,1,2,5.0,4.2,10.4,6.9,5.0,7,0,1,7.0,46.2,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,январь,1,66645,0.215,179,164,7,8,4.47,,7.7,5.9,4.7,4,2,1,4.6,56.9,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,февраль,2,66645,0.215,124,115,4,5,4.03,,8.0,3.9,6.0,6,1,1,4.1,41.2,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,март,3,66645,0.215,40,38,1,1,2.5,,6.6,3.6,5.7,3,2,1,1.3,53.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,апрель,4,66645,0.215,116,109,3,4,3.45,,5.9,4.3,3.1,8,1,1,4.9,53.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,май,5,66645,0.215,186,173,6,7,3.76,,6.7,4.6,4.1,7,2,0,4.6,57.8,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,июнь,6,66645,0.215,40,39,0,1,2.5,,5.7,5.1,4.2,6,0,1,4.2,60.1,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,июль,7,66645,0.215,119,109,5,5,4.2,,7.7,4.5,4.2,12,3,1,5.0,66.6,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,август,8,66645,0.215,40,38,1,1,2.5,,8.0,5.0,2.8,11,0,1,2.9,67.8,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,сентябрь,9,66645,0.215,998,900,53,45,4.51,,6.6,4.7,4.9,7,0,0,6.2,48.6,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,октябрь,10,66645,0.215,40,38,1,1,2.5,,7.1,4.4,4.3,6,0,0,2.9,56.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,ноябрь,11,66645,0.215,79,74,2,3,3.8,,8.2,4.6,4.3,8,1,0,3.1,36.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2022,декабрь,12,66645,0.215,601,551,21,29,4.83,,8.0,5.9,5.4,7,0,0,3.5,44.4,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,январь,1,66645,0.215,839,761,39,39,4.65,3.87,7.8,6.3,4.0,7,2,1,3.8,45.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,февраль,2,66645,0.215,40,38,1,1,2.5,3.78,6.3,6.6,4.0,8,2,1,3.1,56.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,март,3,66645,0.215,260,243,8,9,3.46,4.03,7.5,4.2,3.4,9,2,0,5.2,38.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,апрель,4,66645,0.215,40,38,1,1,2.5,3.96,7.1,3.7,3.2,7,2,1,2.9,43.2,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,май,5,66645,0.215,40,38,1,1,2.5,4.05,7.4,5.3,3.6,6,0,0,5.8,41.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,июнь,6,66645,0.215,324,298,12,14,4.32,4.05,6.3,5.8,4.4,6,0,1,4.7,40.6,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,июль,7,66645,0.215,161,151,3,7,4.35,3.83,5.7,5.4,2.8,9,1,0,3.3,45.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,август,8,66645,0.215,222,205,9,8,3.6,3.8,6.8,6.2,4.8,8,1,0,3.9,49.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,сентябрь,9,66645,0.215,244,228,8,8,3.28,3.99,8.1,6.1,4.9,9,1,0,3.3,45.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,октябрь,10,66645,0.215,302,275,16,11,3.64,3.79,5.9,6.6,4.3,7,1,1,5.9,48.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,ноябрь,11,66645,0.215,40,39,0,1,2.5,3.98,6.2,5.5,5.0,6,2,1,4.7,28.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2023,декабрь,12,66645,0.215,40,36,2,2,5.0,3.9,6.4,4.1,3.1,5,1,0,4.1,39.5,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,январь,1,66645,0.215,40,38,1,1,2.5,3.98,6.7,4.3,5.5,5,2,1,0.4,53.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,февраль,2,66645,0.215,230,208,11,11,4.78,3.81,6.4,4.6,4.0,5,3,1,3.6,42.1,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,март,3,66645,0.215,40,38,1,1,2.5,3.83,6.1,6.6,5.5,7,0,1,2.4,22.8,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,апрель,4,66645,0.215,40,37,2,1,2.5,3.95,6.7,4.0,4.3,6,1,0,3.9,45.7,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,май,5,66645,0.215,262,245,7,10,3.82,3.98,8.2,4.6,5.3,8,1,1,5.3,46.8,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,июнь,6,66645,0.215,295,276,9,10,3.39,3.83,7.1,6.1,2.9,7,2,1,5.3,60.4,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,июль,7,66645,0.215,163,152,4,7,4.29,3.78,7.8,6.6,2.8,5,1,0,4.0,42.9,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,август,8,66645,0.215,483,441,25,17,3.52,3.96,8.1,6.8,6.2,6,3,0,4.6,48.9,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,сентябрь,9,66645,0.215,749,696,26,27,3.6,3.88,7.2,6.8,3.6,5,3,1,4.5,55.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,октябрь,10,66645,0.215,295,270,15,10,3.39,4.02,7.9,6.8,5.8,5,1,1,1.7,49.0,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,ноябрь,11,66645,0.215,586,535,26,25,4.27,3.92,6.9,5.1,3.9,8,0,1,3.5,36.2,Развитие здравоохранения
МО-А02,Регион А,Район-А02,2024,декабрь,12,66645,0.215,183,167,7,9,4.92,3.78,6.1,4.2,5.7,9,1,1,5.3,37.4,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,январь,1,71764,0.159,558,520,13,25,4.48,,7.9,5.5,5.6,7,0,1,1.8,50.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,февраль,2,71764,0.159,40,38,1,1,2.5,,7.3,6.7,4.7,9,3,1,1.1,45.0,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,март,3,71764,0.159,422,396,9,17,4.03,,7.1,4.9,4.6,3,1,2,2.8,39.8,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,апрель,4,71764,0.159,40,37,1,2,5.0,,9.5,4.1,4.5,1,2,0,2.0,53.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,май,5,71764,0.159,40,36,2,2,5.0,,7.0,5.7,4.2,6,1,0,0.7,44.1,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,июнь,6,71764,0.159,266,244,8,14,5.26,,7.1,7.2,6.1,4,2,1,1.9,42.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,июль,7,71764,0.159,73,67,3,3,4.11,,9.2,5.4,4.9,7,1,0,3.6,39.0,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,август,8,71764,0.159,203,187,5,11,5.42,,9.6,5.4,5.8,8,0,0,6.1,32.8,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,сентябрь,9,71764,0.159,340,317,8,15,4.41,,8.3,5.9,6.9,9,2,1,2.9,46.8,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,октябрь,10,71764,0.159,83,76,4,3,3.61,,7.4,5.0,5.9,5,2,1,2.4,45.5,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,ноябрь,11,71764,0.159,473,434,19,20,4.23,,8.0,4.3,7.1,6,2,0,3.7,55.2,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2022,декабрь,12,71764,0.159,137,125,5,7,5.11,,8.1,6.8,4.4,5,2,1,4.7,50.3,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,январь,1,71764,0.159,394,351,21,22,5.58,4.41,8.4,7.0,4.4,5,2,0,2.6,35.6,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,февраль,2,71764,0.159,93,86,2,5,5.38,4.34,9.4,7.0,5.1,10,2,0,1.9,45.8,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,март,3,71764,0.159,489,450,15,24,4.91,4.46,7.4,7.8,6.1,7,1,0,-1.4,47.1,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,апрель,4,71764,0.159,40,39,0,1,2.5,4.5,7.6,5.9,4.3,5,0,0,5.4,51.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,май,5,71764,0.159,238,215,12,11,4.62,4.39,6.5,4.5,7.0,6,1,1,2.7,45.0,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,июнь,6,71764,0.159,40,37,1,2,5.0,4.52,9.2,4.7,3.3,7,2,1,1.8,47.1,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,июль,7,71764,0.159,777,716,20,41,5.28,4.37,7.2,4.2,6.0,9,2,1,4.7,33.3,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,август,8,71764,0.159,40,37,1,2,5.0,4.36,6.7,4.1,6.4,5,2,0,2.5,49.2,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,сентябрь,9,71764,0.159,554,508,18,28,5.05,4.32,8.7,5.0,6.8,9,2,0,3.7,52.3,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,октябрь,10,71764,0.159,91,85,3,3,3.3,4.32,7.2,6.3,7.1,8,2,1,2.7,49.7,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,ноябрь,11,71764,0.159,40,38,1,1,2.5,4.28,9.1,6.7,4.7,9,2,1,2.6,58.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2023,декабрь,12,71764,0.159,404,360,24,20,4.95,4.53,7.0,7.9,5.7,7,3,0,1.5,26.2,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,январь,1,71764,0.159,127,114,7,6,4.72,4.36,9.3,6.0,4.6,6,0,0,1.7,56.7,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,февраль,2,71764,0.159,291,267,8,16,5.5,4.45,9.4,5.3,6.2,10,2,0,4.6,51.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,март,3,71764,0.159,179,169,3,7,3.91,4.55,8.4,7.9,6.2,9,1,1,1.7,37.0,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,апрель,4,71764,0.159,40,38,1,1,2.5,4.27,9.2,5.4,4.2,7,0,0,2.7,43.6,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,май,5,71764,0.159,40,38,1,1,2.5,4.36,7.9,4.1,6.8,5,2,1,2.7,43.5,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,июнь,6,71764,0.159,283,255,15,13,4.59,4.55,7.3,4.4,6.2,8,1,1,3.3,50.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,июль,7,71764,0.159,241,220,10,11,4.56,4.35,9.0,4.4,7.2,9,1,1,1.6,51.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,август,8,71764,0.159,181,164,9,8,4.42,4.27,7.7,7.5,6.3,4,3,0,4.7,57.1,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,сентябрь,9,71764,0.159,220,204,7,9,4.09,4.45,6.7,4.6,5.2,10,2,1,5.0,45.8,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,октябрь,10,71764,0.159,174,156,10,8,4.6,4.57,7.7,6.0,5.8,5,1,0,6.6,50.9,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,ноябрь,11,71764,0.159,40,38,1,1,2.5,4.34,9.5,7.0,5.3,9,0,1,2.6,38.3,Развитие здравоохранения
МО-А03,Регион А,Район-А03,2024,декабрь,12,71764,0.159,763,712,16,35,4.59,4.52,8.5,6.8,6.1,6,1,0,1.1,51.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,январь,1,72815,0.196,229,212,4,13,5.68,,7.9,5.9,6.1,9,0,1,4.7,41.2,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,февраль,2,72815,0.196,385,355,12,18,4.68,,8.5,5.9,4.2,9,1,1,4.9,38.7,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,март,3,72815,0.196,681,630,17,34,4.99,,7.9,6.9,4.3,8,0,2,3.2,46.4,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,апрель,4,72815,0.196,751,675,37,39,5.19,,6.2,4.9,5.4,8,2,1,4.7,41.5,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,май,5,72815,0.196,334,304,16,14,4.19,,6.5,6.8,4.3,6,0,0,3.8,41.2,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,июнь,6,72815,0.196,147,135,6,6,4.08,,7.1,6.0,3.2,9,3,1,5.2,46.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,июль,7,72815,0.196,406,372,17,17,4.19,,8.5,6.3,6.2,7,0,1,1.9,51.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,август,8,72815,0.196,1329,1189,61,79,5.94,,6.8,3.8,4.1,2,1,1,0.9,48.5,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,сентябрь,9,72815,0.196,124,112,6,6,4.84,,6.5,6.1,5.8,3,0,1,2.3,37.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,октябрь,10,72815,0.196,41,37,2,2,4.88,,5.8,4.9,3.0,7,2,0,1.3,47.4,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,ноябрь,11,72815,0.196,40,37,2,1,2.5,,8.4,7.1,5.9,8,3,0,2.9,52.7,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2022,декабрь,12,72815,0.196,517,468,20,29,5.61,,6.1,6.4,3.9,9,1,0,3.8,40.7,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,январь,1,72815,0.196,72,67,2,3,4.17,4.33,7.9,5.9,3.2,7,0,1,5.0,62.4,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,февраль,2,72815,0.196,750,694,22,34,4.53,4.42,8.3,4.0,3.3,5,0,0,5.1,54.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,март,3,72815,0.196,827,751,36,40,4.84,4.47,6.8,6.1,5.5,3,0,1,0.4,39.2,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,апрель,4,72815,0.196,335,315,7,13,3.88,4.29,7.8,6.9,5.5,5,2,1,5.4,30.9,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,май,5,72815,0.196,224,207,9,8,3.57,4.53,8.5,4.7,4.2,7,1,0,1.2,46.4,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,июнь,6,72815,0.196,306,282,11,13,4.25,4.31,8.4,6.6,4.7,9,0,1,4.5,57.0,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,июль,7,72815,0.196,422,388,13,21,4.98,4.58,6.1,7.1,5.4,4,0,1,0.8,44.5,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,август,8,72815,0.196,40,37,2,1,2.5,4.33,7.8,6.5,5.4,11,3,1,3.9,55.0,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,сентябрь,9,72815,0.196,40,37,2,1,2.5,4.58,7.3,4.8,5.3,10,3,0,1.8,52.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,октябрь,10,72815,0.196,126,115,6,5,3.97,4.39,6.1,6.3,4.9,10,2,0,2.8,35.6,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,ноябрь,11,72815,0.196,344,318,10,16,4.65,4.31,6.3,6.3,5.5,8,3,1,1.2,38.9,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2023,декабрь,12,72815,0.196,447,406,16,25,5.59,4.53,8.4,3.9,6.3,7,1,1,5.3,46.2,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,январь,1,72815,0.196,40,37,1,2,5.0,4.28,6.4,5.3,5.3,4,3,0,1.5,53.3,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,февраль,2,72815,0.196,392,350,21,21,5.36,4.47,6.5,5.9,4.2,4,2,1,1.0,45.6,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,март,3,72815,0.196,164,150,7,7,4.27,4.35,7.9,6.4,3.5,7,0,1,1.4,51.1,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,апрель,4,72815,0.196,349,314,18,17,4.87,4.32,8.1,3.6,4.9,7,0,0,1.4,47.8,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,май,5,72815,0.196,40,39,0,1,2.5,4.5,8.5,6.8,3.5,5,1,0,0.6,42.9,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,июнь,6,72815,0.196,379,354,10,15,3.96,4.44,8.2,3.7,6.4,7,0,0,1.7,45.0,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,июль,7,72815,0.196,247,222,14,11,4.45,4.43,8.0,5.9,4.5,7,0,0,-1.2,43.7,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,август,8,72815,0.196,40,39,0,1,2.5,4.52,6.4,4.3,3.9,9,3,0,2.3,41.3,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,сентябрь,9,72815,0.196,121,114,2,5,4.13,4.35,6.8,6.8,4.3,8,2,1,1.1,50.8,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,октябрь,10,72815,0.196,106,95,6,5,4.72,4.49,6.3,4.9,5.2,7,2,0,2.4,46.7,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,ноябрь,11,72815,0.196,630,579,27,24,3.81,4.29,6.1,4.0,4.8,7,3,1,2.3,49.6,Развитие здравоохранения
МО-А04,Регион А,Район-А04,2024,декабрь,12,72815,0.196,135,127,2,6,4.44,4.38,8.5,4.9,3.2,11,2,0,3.0,41.0,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,январь,1,131572,0.243,769,688,41,40,5.2,,7.7,6.0,6.4,9,3,2,2.2,51.3,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,февраль,2,131572,0.243,344,309,18,17,4.94,,7.5,4.2,3.0,5,2,0,4.3,51.8,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,март,3,131572,0.243,418,374,20,24,5.74,,6.8,6.1,5.7,10,3,2,3.8,36.2,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,апрель,4,131572,0.243,326,290,17,19,5.83,,6.9,7.0,6.6,13,2,1,3.8,47.1,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,май,5,131572,0.243,239,219,11,9,3.77,,7.7,5.6,6.3,6,3,0,0.8,45.8,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,июнь,6,131572,0.243,40,37,1,2,5.0,,7.2,6.1,6.4,11,2,0,2.5,33.1,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,июль,7,131572,0.243,477,424,26,27,5.66,,7.6,6.1,5.3,14,4,0,4.6,39.8,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,август,8,131572,0.243,479,428,27,24,5.01,,7.3,5.2,4.4,11,4,1,3.3,55.9,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,сентябрь,9,131572,0.243,472,438,13,21,4.45,,8.2,5.9,3.8,10,2,2,1.5,35.6,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,октябрь,10,131572,0.243,1154,1058,39,57,4.94,,7.9,5.0,4.3,11,4,1,3.8,53.7,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,ноябрь,11,131572,0.243,1054,978,27,49,4.65,,6.4,5.6,3.6,12,2,0,2.3,48.7,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2022,декабрь,12,131572,0.243,62,58,2,2,3.23,,8.5,4.4,4.3,11,1,1,3.9,43.9,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2023,январь,1,131572,0.243,508,459,25,24,4.72,4.45,6.5,4.5,4.8,11,2,0,1.6,49.6,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2023,февраль,2,131572,0.243,759,686,38,35,4.61,4.44,7.5,7.2,6.2,8,2,1,3.5,47.3,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2023,март,3,131572,0.243,871,805,25,41,4.71,4.38,7.1,7.4,5.8,13,2,1,0.7,46.8,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2023,апрель,4,131572,0.243,443,411,13,19,4.29,4.41,8.6,7.5,3.9,12,3,0,2.5,33.9,Развитие здравоохранения
МО-А05,Регион А,Район-А05,2023,май,5,131572,0.243,203,183,12,8,3.94,4.35,7.9,4.6,3.5,8,5,1,4.7,43.2,Развитие здравоохранения
