mo_id,region,district,year,month,month_idx,population,elderly_share,admitted,discharged,transferred,deaths,letality_pct,vacancy_reanim_pct,vacancy_cardio_pct,vacancy_surgeon_pct,ivl_units,ct_units,angiograph_units,ivl_avg_age_years,time_to_ivl_min
МО-А04,Регион А,Район-А04,2023,январь,1,72815,0.196,726,661,31,34,4.68,6.3,5.9,3.7,6,3,1,1.5,54.5
МО-А04,Регион А,Район-А04,2023,февраль,2,72815,0.196,40,36,2,2,5.0,8.1,5.8,5.2,5,4,1,3.7,41.6
МО-А04,Регион А,Район-А04,2023,март,3,72815,0.196,482,446,16,20,4.15,5.7,6.7,4.9,10,1,1,2.9,42.1
МО-А04,Регион А,Район-А04,2023,апрель,4,72815,0.196,236,219,7,10,4.24,6.8,6.2,5.6,5,1,0,4.0,46.7
МО-А04,Регион А,Район-А04,2023,май,5,72815,0.196,40,38,1,1,2.5,7.1,5.2,3.8,5,1,0,2.1,48.4
МО-А04,Регион А,Район-А04,2023,июнь,6,72815,0.196,60,57,1,2,3.33,6.9,5.7,2.9,5,1,1,3.9,50.0
МО-А04,Регион А,Район-А04,2023,июль,7,72815,0.196,221,205,5,11,4.98,6.8,6.1,4.7,7,2,0,5.9,52.2
МО-А04,Регион А,Район-А04,2023,август,8,72815,0.196,311,280,16,15,4.82,7.4,5.6,5.4,7,1,1,4.5,47.0
МО-А04,Регион А,Район-А04,2023,сентябрь,9,72815,0.196,402,361,22,19,4.73,6.0,6.6,3.7,4,0,0,2.2,48.2
МО-А04,Регион А,Район-А04,2023,октябрь,10,72815,0.196,67,63,2,2,2.99,6.1,5.4,6.1,8,0,1,4.3,30.8
МО-А04,Регион А,Район-А04,2023,ноябрь,11,72815,0.196,260,239,11,10,3.85,7.9,5.9,3.5,8,1,0,3.2,33.3
МО-А04,Регион А,Район-А04,2023,декабрь,12,72815,0.196,40,37,1,2,5.0,7.5,6.7,5.1,8,2,1,2.0,48.7
МО-А04,Регион А,Район-А04,2024,январь,1,72815,0.196,223,205,7,11,4.93,7.0,3.8,5.8,7,3,1,4.5,36.8
МО-А04,Регион А,Район-А04,2024,февраль,2,72815,0.196,40,36,2,2,5.0,8.3,5.2,5.8,7,1,0,2.3,48.1
МО-А04,Регион А,Район-А04,2024,март,3,72815,0.196,400,367,13,20,5.0,7.8,5.4,3.5,7,1,1,1.5,50.3
МО-А04,Регион А,Район-А04,2024,апрель,4,72815,0.196,433,400,15,18,4.16,6.7,5.7,5.7,8,1,0,5.0,51.8
МО-А04,Регион А,Район-А04,2024,май,5,72815,0.196,118,107,6,5,4.24,8.2,4.8,4.9,10,2,1,5.5,44.8
МО-А04,Регион А,Район-А04,2024,июнь,6,72815,0.196,40,37,1,2,5.0,6.8,6.4,5.8,8,0,0,3.0,33.1
МО-А04,Регион А,Район-А04,2024,июль,7,72815,0.196,40,38,1,1,2.5,6.8,4.2,3.6,6,2,0,3.3,49.5
МО-А04,Регион А,Район-А04,2024,август,8,72815,0.196,864,787,43,34,3.94,8.1,6.7,3.0,8,0,1,4.2,52.9
МО-А04,Регион А,Район-А04,2024,сентябрь,9,72815,0.196,602,542,31,29,4.82,6.2,5.1,4.3,10,1,0,2.0,46.6
МО-А04,Регион А,Район-А04,2024,октябрь,10,72815,0.196,239,222,7,10,4.18,8.0,5.3,5.9,5,0,2,4.8,46.1
МО-А04,Регион А,Район-А04,2024,ноябрь,11,72815,0.196,171,154,10,7,4.09,8.1,6.4,3.4,9,1,1,4.5,39.9
МО-А04,Регион А,Район-А04,2024,декабрь,12,72815,0.196,805,736,25,44,5.47,7.9,4.6,6.1,9,2,1,4.2,45.0
МО-А05,Регион А,Район-А05,2023,январь,1,131572,0.243,40,39,0,1,2.5,7.5,4.7,6.8,11,2,1,5.9,39.8
МО-А05,Регион А,Район-А05,2023,февраль,2,131572,0.243,40,38,1,1,2.5,8.5,6.4,3.5,8,2,0,3.9,47.9
МО-А05,Регион А,Район-А05,2023,март,3,131572,0.243,392,356,19,17,4.34,7.6,4.2,4.1,14,2,1,0.9,53.3
МО-А05,Регион А,Район-А05,2023,апрель,4,131572,0.243,131,120,5,6,4.58,6.1,5.7,3.9,11,3,1,2.4,40.2
МО-А05,Регион А,Район-А05,2023,май,5,131572,0.243,40,37,2,1,2.5,6.2,5.7,4.9,12,4,0,2.0,50.0
МО-А05,Регион А,Район-А05,2023,июнь,6,131572,0.243,40,39,0,1,2.5,8.4,5.1,5.8,6,1,0,3.1,40.4
МО-А05,Регион А,Район-А05,2023,июль,7,131572,0.243,1233,1134,33,66,5.35,8.4,5.5,5.6,11,1,0,5.7,52.9
МО-А05,Регион А,Район-А05,2023,август,8,131572,0.243,40,38,1,1,2.5,6.1,7.3,4.9,11,4,0,3.2,57.5
МО-А05,Регион А,Район-А05,2023,сентябрь,9,131572,0.243,662,595,36,31,4.68,7.0,4.2,4.4,12,4,0,4.4,40.6
МО-А05,Регион А,Район-А05,2023,октябрь,10,131572,0.243,1198,1078,68,52,4.34,7.6,6.8,5.7,10,3,1,4.1,37.4
МО-А05,Регион А,Район-А05,2023,ноябрь,11,131572,0.243,322,298,10,14,4.35,7.8,5.4,5.6,11,2,1,4.2,41.3
МО-А05,Регион А,Район-А05,2023,декабрь,12,131572,0.243,965,856,55,54,5.6,6.2,6.2,4.4,11,3,0,4.1,43.0
МО-А05,Регион А,Район-А05,2024,январь,1,131572,0.243,40,39,0,1,2.5,8.4,5.1,4.5,9,1,0,1.7,30.0
МО-А05,Регион А,Район-А05,2024,февраль,2,131572,0.243,40,37,1,2,5.0,7.2,6.2,3.9,13,4,1,1.8,45.8
МО-А05,Регион А,Район-А05,2024,март,3,131572,0.243,40,38,1,1,2.5,9.0,4.8,6.5,10,2,1,4.3,41.5
МО-А05,Регион А,Район-А05,2024,апрель,4,131572,0.243,1012,927,47,38,3.75,8.6,5.0,4.3,9,3,1,5.5,38.0
МО-А05,Регион А,Район-А05,2024,май,5,131572,0.243,80,73,4,3,3.75,7.6,4.2,3.8,6,3,1,5.1,48.1
МО-А05,Регион А,Район-А05,2024,июнь,6,131572,0.243,40,38,1,1,2.5,6.3,4.9,6.8,13,2,0,3.6,29.7
МО-А05,Регион А,Район-А05,2024,июль,7,131572,0.243,2015,1836,76,103,5.11,8.1,5.1,6.3,13,3,0,4.9,66.1
МО-А05,Регион А,Район-А05,2024,август,8,131572,0.243,40,39,0,1,2.5,6.5,4.4,4.2,13,2,0,6.2,38.6
МО-А05,Регион А,Район-А05,2024,сентябрь,9,131572,0.243,721,659,30,32,4.44,6.4,4.9,5.0,9,2,0,4.1,42.9
МО-А05,Регион А,Район-А05,2024,октябрь,10,131572,0.243,40,37,2,1,2.5,7.7,6.9,3.1,8,4,1,1.3,41.2
МО-А05,Регион А,Район-А05,2024,ноябрь,11,131572,0.243,511,468,20,23,4.5,7.9,4.9,6.6,9,1,1,2.8,40.7
МО-А05,Регион А,Район-А05,2024,декабрь,12,131572,0.243,645,589,25,31,4.81,6.6,6.0,4.2,11,2,0,5.9,28.2
МО-А06,Регион А,Район-А06,2023,январь,1,68063,0.171,449,408,14,27,6.01,7.6,4.9,4.0,8,2,1,2.2,53.8
МО-А06,Регион А,Район-А06,2023,февраль,2,68063,0.171,234,215,7,12,5.13,8.0,5.1,6.0,11,0,1,2.5,47.1
МО-А06,Регион А,Район-А06,2023,март,3,68063,0.171,1038,923,60,55,5.3,6.8,5.2,3.3,7,0,1,2.8,37.8
МО-А06,Регион А,Район-А06,2023,апрель,4,68063,0.171,40,36,2,2,5.0,8.4,6.8,4.5,6,0,1,4.4,57.1
МО-А06,Регион А,Район-А06,2023,май,5,68063,0.171,587,536,18,33,5.62,9.2,6.5,3.5,8,2,0,4.1,41.8
МО-А06,Регион А,Район-А06,2023,июнь,6,68063,0.171,756,690,30,36,4.76,7.7,4.0,3.6,5,1,1,1.8,49.5
МО-А06,Регион А,Район-А06,2023,июль,7,68063,0.171,40,37,1,2,5.0,9.2,6.7,4.2,7,0,1,1.5,46.3
МО-А06,Регион А,Район-А06,2023,август,8,68063,0.171,40,37,1,2,5.0,9.2,6.1,6.2,10,1,0,5.4,50.3
МО-А06,Регион А,Район-А06,2023,сентябрь,9,68063,0.171,808,728,34,46,5.69,8.4,6.1,3.7,6,0,0,4.2,43.8
МО-А06,Регион А,Район-А06,2023,октябрь,10,68063,0.171,190,175,4,11,5.79,6.2,5.1,3.7,6,1,0,4.3,26.5
МО-А06,Регион А,Район-А06,2023,ноябрь,11,68063,0.171,614,571,15,28,4.56,6.8,5.1,5.6,4,0,0,5.3,60.8
МО-А06,Регион А,Район-А06,2023,декабрь,12,68063,0.171,52,47,2,3,5.77,8.2,6.5,5.4,8,2,1,2.8,45.3
МО-А06,Регион А,Район-А06,2024,январь,1,68063,0.171,508,466,14,28,5.51,8.4,5.1,4.4,6,3,0,3.7,51.6
МО-А06,Регион А,Район-А06,2024,февраль,2,68063,0.171,78,69,4,5,6.41,9.1,7.0,4.2,5,1,1,2.8,55.8
МО-А06,Регион А,Район-А06,2024,март,3,68063,0.171,211,193,8,10,4.74,9.1,6.5,3.6,9,0,0,3.9,60.5
МО-А06,Регион А,Район-А06,2024,апрель,4,68063,0.171,40,38,1,1,2.5,8.4,4.2,6.1,6,3,1,5.1,44.1
МО-А06,Регион А,Район-А06,2024,май,5,68063,0.171,868,798,24,46,5.3,9.2,5.1,5.6,5,2,0,2.1,44.4
МО-А06,Регион А,Район-А06,2024,июнь,6,68063,0.171,92,85,2,5,5.43,8.9,4.5,6.6,2,2,0,0.2,48.9
МО-А06,Регион А,Район-А06,2024,июль,7,68063,0.171,981,897,19,65,6.63,7.9,4.3,6.9,6,1,2,2.1,44.3
МО-А06,Регион А,Район-А06,2024,август,8,68063,0.171,842,775,23,44,5.23,6.5,4.5,4.9,5,1,1,3.5,30.6
МО-А06,Регион А,Район-А06,2024,сентябрь,9,68063,0.171,40,37,2,1,2.5,8.9,7.1,5.1,5,3,1,4.1,52.4
МО-А06,Регион А,Район-А06,2024,октябрь,10,68063,0.171,112,104,3,5,4.46,8.5,7.5,4.3,8,1,0,2.5,37.6
МО-А06,Регион А,Район-А06,2024,ноябрь,11,68063,0.171,384,352,13,19,4.95,7.7,7.3,5.8,7,1,1,4.9,43.2
МО-А06,Регион А,Район-А06,2024,декабрь,12,68063,0.171,46,43,1,2,4.35,8.5,6.2,4.7,6,0,0,1.6,45.0
МО-А07,Регион А,Район-А07,2023,январь,1,77480,0.191,315,284,17,14,4.44,5.7,5.0,5.2,12,3,1,5.1,47.4
МО-А07,Регион А,Район-А07,2023,февраль,2,77480,0.191,40,38,1,1,2.5,6.9,3.8,3.5,11,2,0,0.6,44.4
МО-А07,Регион А,Район-А07,2023,март,3,77480,0.191,40,39,0,1,2.5,6.8,6.2,5.2,11,1,1,3.3,34.7
МО-А07,Регион А,Район-А07,2023,апрель,4,77480,0.191,600,545,35,20,3.33,8.1,3.7,6.0,11,3,1,3.6,33.6
МО-А07,Регион А,Район-А07,2023,май,5,77480,0.191,811,733,48,30,3.7,6.6,6.4,5.9,10,1,1,2.3,36.4
МО-А07,Регион А,Район-А07,2023,июнь,6,77480,0.191,54,51,2,1,1.85,7.0,5.9,3.5,9,3,1,2.6,56.9
МО-А07,Регион А,Район-А07,2023,июль,7,77480,0.191,40,38,1,1,2.5,6.5,4.4,6.0,10,2,0,3.9,37.0
МО-А07,Регион А,Район-А07,2023,август,8,77480,0.191,339,319,9,11,3.24,5.8,3.6,4.8,7,2,0,3.2,35.6
МО-А07,Регион А,Район-А07,2023,сентябрь,9,77480,0.191,284,266,6,12,4.23,6.9,4.4,5.6,12,2,0,1.5,38.5
МО-А07,Регион А,Район-А07,2023,октябрь,10,77480,0.191,117,108,5,4,3.42,6.1,4.5,3.0,12,4,0,5.1,38.2
МО-А07,Регион А,Район-А07,2023,ноябрь,11,77480,0.191,40,37,2,1,2.5,7.3,6.1,3.8,12,2,1,1.5,55.3
МО-А07,Регион А,Район-А07,2023,декабрь,12,77480,0.191,40,38,1,1,2.5,7.7,6.6,4.7,11,4,0,4.1,51.0
МО-А07,Регион А,Район-А07,2024,январь,1,77480,0.191,419,377,22,20,4.77,5.8,5.9,3.4,13,2,1,0.9,33.9
МО-А07,Регион А,Район-А07,2024,февраль,2,77480,0.191,506,462,21,23,4.55,6.8,6.4,3.9,14,2,0,6.8,37.3
МО-А07,Регион А,Район-А07,2024,март,3,77480,0.191,1387,1293,41,53,3.82,7.2,4.1,5.9,16,1,0,2.0,52.5
МО-А07,Регион А,Район-А07,2024,апрель,4,77480,0.191,67,63,2,2,2.99,5.8,6.8,4.4,12,3,0,2.2,49.7
МО-А07,Регион А,Район-А07,2024,май,5,77480,0.191,40,38,1,1,2.5,8.1,5.4,4.2,10,3,1,1.2,57.5
МО-А07,Регион А,Район-А07,2024,июнь,6,77480,0.191,40,38,1,1,2.5,7.8,6.8,5.0,11,2,1,3.6,42.0
МО-А07,Регион А,Район-А07,2024,июль,7,77480,0.191,175,160,7,8,4.57,7.3,3.6,2.9,8,4,0,2.1,34.1
МО-А07,Регион А,Район-А07,2024,август,8,77480,0.191,40,38,1,1,2.5,5.5,5.2,4.0,13,1,0,2.0,37.1
МО-А07,Регион А,Район-А07,2024,сентябрь,9,77480,0.191,213,201,4,8,3.76,7.0,4.4,6.1,11,4,1,2.1,32.6
МО-А07,Регион А,Район-А07,2024,октябрь,10,77480,0.191,413,389,10,14,3.39,6.0,5.2,5.6,10,2,1,2.2,49.8
МО-А07,Регион А,Район-А07,2024,ноябрь,11,77480,0.191,40,38,1,1,2.5,7.8,5.7,5.7,8,2,0,1.9,53.7
МО-А07,Регион А,Район-А07,2024,декабрь,12,77480,0.191,308,284,12,12,3.9,6.7,6.1,4.7,11,3,0,2.9,44.6
МО-А08,Регион А,Район-А08,2023,январь,1,102827,0.157,591,536,23,32,5.41,6.7,4.4,7.0,11,2,0,7.6,48.8
МО-А08,Регион А,Район-А08,2023,февраль,2,102827,0.157,40,36,2,2,5.0,8.8,5.7,3.6,11,2,1,5.0,41.4
МО-А08,Регион А,Район-А08,2023,март,3,102827,0.157,710,659,18,33,4.65,9.7,7.0,5.3,6,2,0,1.6,55.4
МО-А08,Регион А,Район-А08,2023,апрель,4,102827,0.157,40,37,1,2,5.0,9.0,4.2,4.4,10,2,0,2.1,63.5
МО-А08,Регион А,Район-А08,2023,май,5,102827,0.157,40,39,0,1,2.5,8.5,7.3,6.2,8,2,1,3.8,36.7
МО-А08,Регион А,Район-А08,2023,июнь,6,102827,0.157,313,295,6,12,3.83,7.5,5.5,4.4,5,2,1,2.4,49.5
МО-А08,Регион А,Район-А08,2023,июль,7,102827,0.157,243,227,5,11,4.53,8.5,5.4,4.8,7,1,1,7.0,56.5
МО-А08,Регион А,Район-А08,2023,август,8,102827,0.157,1519,1411,40,68,4.48,7.8,4.6,4.5,4,1,1,2.8,50.0
МО-А08,Регион А,Район-А08,2023,сентябрь,9,102827,0.157,138,129,4,5,3.62,8.5,6.5,4.1,7,2,1,5.5,45.5
МО-А08,Регион А,Район-А08,2023,октябрь,10,102827,0.157,40,38,1,1,2.5,9.2,7.6,7.2,4,2,1,5.2,47.1
МО-А08,Регион А,Район-А08,2023,ноябрь,11,102827,0.157,40,37,1,2,5.0,8.8,6.1,5.6,11,1,1,4.9,40.9
МО-А08,Регион А,Район-А08,2023,декабрь,12,102827,0.157,842,765,35,42,4.99,8.7,6.3,7.1,8,0,1,3.1,50.6
МО-А08,Регион А,Район-А08,2024,январь,1,102827,0.157,40,37,1,2,5.0,8.1,6.6,4.2,3,0,0,4.4,44.1
МО-А08,Регион А,Район-А08,2024,февраль,2,102827,0.157,929,848,37,44,4.74,9.5,6.9,5.5,7,2,0,5.7,43.2
МО-А08,Регион А,Район-А08,2024,март,3,102827,0.157,202,184,9,9,4.46,7.7,6.7,3.4,6,3,0,2.2,4.0
МО-А08,Регион А,Район-А08,2024,апрель,4,102827,0.157,875,816,26,33,3.77,8.2,6.2,5.6,6,0,0,2.3,56.0
МО-А08,Регион А,Район-А08,2024,май,5,102827,0.157,40,39,0,1,2.5,6.9,5.8,7.2,5,3,1,5.1,50.7
МО-А08,Регион А,Район-А08,2024,июнь,6,102827,0.157,40,38,1,1,2.5,7.9,6.9,4.6,7,1,2,6.4,57.1
МО-А08,Регион А,Район-А08,2024,июль,7,102827,0.157,40,37,2,1,2.5,7.3,4.8,3.9,4,0,0,4.4,54.0
МО-А08,Регион А,Район-А08,2024,август,8,102827,0.157,637,597,13,27,4.24,8.5,4.9,5.7,9,0,1,4.9,60.6
МО-А08,Регион А,Район-А08,2024,сентябрь,9,102827,0.157,409,372,22,15,3.67,7.1,5.4,5.1,6,1,2,2.2,43.7
МО-А08,Регион А,Район-А08,2024,октябрь,10,102827,0.157,40,38,1,1,2.5,9.3,6.6,6.6,5,1,0,3.8,46.7
МО-А08,Регион А,Район-А08,2024,ноябрь,11,102827,0.157,514,479,14,21,4.09,8.8,6.1,5.0,7,2,1,5.1,58.7
МО-А08,Регион А,Район-А08,2024,декабрь,12,102827,0.157,85,78,3,4,4.71,8.1,4.6,4.5,4,1,1,4.1,48.0
МО-А09,Регион А,Район-А09,2023,январь,1,68250,0.24,637,578,25,34,5.34,10.8,9.1,6.6,10,2,0,4.3,52.2
